00001 A00     0 Cholera                                                      Cholera
02541 C8470   1 Anaplastic large cell lymphoma, ALK-negative, unsp site      Anaplastic large cell lymphoma, ALK-negative, unspecified site
02542 C8471   1 Anaplstc lg cell lymph, ALK-neg, nodes of head, face, and nk Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck
02543 C8472   1 Anaplastic large cell lymphoma, ALK-neg, intrathorac nodes   Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes
02544 C8473   1 Anaplastic large cell lymphoma, ALK-neg, intra-abd nodes     Anaplastic large cell lymphoma, ALK-negative, intra-abdominal lymph nodes
02545 C8474   1 Anaplstc lg cell lymph, ALK-neg, nodes of axla and upr limb  Anaplastic large cell lymphoma, ALK-negative, lymph nodes of axilla and upper limb
02546 C8475   1 Anaplstc lg cell lymph, ALK-neg, nodes of ing rgn & low lmb  Anaplastic large cell lymphoma, ALK-negative, lymph nodes of inguinal region and lower limb
02547 C8476   1 Anaplastic large cell lymphoma, ALK-neg, intrapelv nodes     Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes
02548 C8477   1 Anaplastic large cell lymphoma, ALK-negative, spleen         Anaplastic large cell lymphoma, ALK-negative, spleen
02549 C8478   1 Anaplastic large cell lymphoma, ALK-neg, nodes mult site     Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites
02550 C8479   1 Anaplstc lg cell lymph, ALK-neg, extrnod and solid org sites Anaplastic large cell lymphoma, ALK-negative, extranodal and solid organ sites
02551 C847A   1 Anaplastic large cell lymphoma, ALK-negative, breast         Anaplastic large cell lymphoma, ALK-negative, breast
02552 C847B   1 Anaplastic large cell lymphoma, ALK-negative, in remission   Anaplastic large cell lymphoma, ALK-negative, in remission
02553 C84A    0 Cutaneous T-cell lymphoma, unspecified                       Cutaneous T-cell lymphoma, unspecified
02554 C84A0   1 Cutaneous T-cell lymphoma, unspecified, unspecified site     Cutaneous T-cell lymphoma, unspecified, unspecified site
02555 C84A1   1 Cutan T-cell lymphoma, unsp nodes of head, face, and neck    Cutaneous T-cell lymphoma, unspecified lymph nodes of head, face, and neck
02556 C84A2   1 Cutaneous T-cell lymphoma, unsp, intrathoracic lymph nodes   Cutaneous T-cell lymphoma, unspecified, intrathoracic lymph nodes
02557 C84A3   1 Cutaneous T-cell lymphoma, unsp, intra-abdominal lymph nodes Cutaneous T-cell lymphoma, unspecified, intra-abdominal lymph nodes
02558 C84A4   1 Cutan T-cell lymphoma, unsp, nodes of axilla and upper limb  Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb
02559 C84A5   1 Cutan T-cell lymph, unsp, nodes of ing region and lower limb Cutaneous T-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb
02560 C84A6   1 Cutaneous T-cell lymphoma, unsp, intrapelvic lymph nodes     Cutaneous T-cell lymphoma, unspecified, intrapelvic lymph nodes
02561 C84A7   1 Cutaneous T-cell lymphoma, unspecified, spleen               Cutaneous T-cell lymphoma, unspecified, spleen
02562 C84A8   1 Cutaneous T-cell lymphoma, unsp, lymph nodes mult site       Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites
02563 C84A9   1 Cutan T-cell lymphoma, unsp, extrnod and solid organ sites   Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites
02564 C84AA   1 Cutaneous T-cell lymphoma, unspecified, in remission         Cutaneous T-cell lymphoma, unspecified, in remission
02565 C84Z    0 Other mature T/NK-cell lymphomas                             Other mature T/NK-cell lymphomas
02566 C84Z0   1 Other mature T/NK-cell lymphomas, unspecified site           Other mature T/NK-cell lymphomas, unspecified site
02567 C84Z1   1 Oth mature T/NK-cell lymph, nodes of head, face, and neck    Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck
02568 C84Z2   1 Other mature T/NK-cell lymphomas, intrathoracic lymph nodes  Other mature T/NK-cell lymphomas, intrathoracic lymph nodes
02569 C84Z3   1 Oth mature T/NK-cell lymphomas, intra-abdominal lymph nodes  Other mature T/NK-cell lymphomas, intra-abdominal lymph nodes
02570 C84Z4   1 Oth mature T/NK-cell lymph, nodes of axilla and upper limb   Other mature T/NK-cell lymphomas, lymph nodes of axilla and upper limb
02571 C84Z5   1 Oth mature T/NK-cell lymph, nodes of ing rgn and lower limb  Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb
02572 C84Z6   1 Other mature T/NK-cell lymphomas, intrapelvic lymph nodes    Other mature T/NK-cell lymphomas, intrapelvic lymph nodes
02573 C84Z7   1 Other mature T/NK-cell lymphomas, spleen                     Other mature T/NK-cell lymphomas, spleen
02574 C84Z8   1 Oth mature T/NK-cell lymphomas, lymph nodes mult site        Other mature T/NK-cell lymphomas, lymph nodes of multiple sites
02575 C84Z9   1 Oth mature T/NK-cell lymph, extrnod and solid organ sites    Other mature T/NK-cell lymphomas, extranodal and solid organ sites
02576 C84ZA   1 Other mature T/NK-cell lymphomas, in remission               Other mature T/NK-cell lymphomas, in remission
02577 C849    0 Mature T/NK-cell lymphomas, unspecified                      Mature T/NK-cell lymphomas, unspecified
02578 C8490   1 Mature T/NK-cell lymphomas, unspecified, unspecified site    Mature T/NK-cell lymphomas, unspecified, unspecified site
02579 C8491   1 Mature T/NK-cell lymph, unsp, nodes of head, face, and neck  Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck
02580 C8492   1 Mature T/NK-cell lymphomas, unsp, intrathoracic lymph nodes  Mature T/NK-cell lymphomas, unspecified, intrathoracic lymph nodes
02581 C8493   1 Mature T/NK-cell lymphomas, unsp, intra-abd lymph nodes      Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes
02582 C8494   1 Mature T/NK-cell lymph, unsp, nodes of axilla and upper limb Mature T/NK-cell lymphomas, unspecified, lymph nodes of axilla and upper limb
02583 C8495   1 Mature T/NK-cell lymph, unsp, nodes of ing rgn and low limb  Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb
02584 C8496   1 Mature T/NK-cell lymphomas, unsp, intrapelvic lymph nodes    Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes
02585 C8497   1 Mature T/NK-cell lymphomas, unspecified, spleen              Mature T/NK-cell lymphomas, unspecified, spleen
02586 C8498   1 Mature T/NK-cell lymphomas, unsp, lymph nodes mult site      Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites
02587 C8499   1 Mature T/NK-cell lymph, unsp, extrnod and solid organ sites  Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites
02588 C849A   1 Mature T/NK-cell lymphomas, unspecified, in remission        Mature T/NK-cell lymphomas, unspecified, in remission
02589 C85     0 Oth and unspecified types of non-Hodgkin lymphoma            Other specified and unspecified types of non-Hodgkin lymphoma
02590 C851    0 Unspecified B-cell lymphoma                                  Unspecified B-cell lymphoma
02591 C8510   1 Unspecified B-cell lymphoma, unspecified site                Unspecified B-cell lymphoma, unspecified site
02592 C8511   1 Unsp B-cell lymphoma, lymph nodes of head, face, and neck    Unspecified B-cell lymphoma, lymph nodes of head, face, and neck
02593 C8512   1 Unspecified B-cell lymphoma, intrathoracic lymph nodes       Unspecified B-cell lymphoma, intrathoracic lymph nodes
02594 C8513   1 Unspecified B-cell lymphoma, intra-abdominal lymph nodes     Unspecified B-cell lymphoma, intra-abdominal lymph nodes
02595 C8514   1 Unsp B-cell lymphoma, lymph nodes of axilla and upper limb   Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb
02596 C8515   1 Unsp B-cell lymphoma, nodes of ing region and lower limb     Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb
02597 C8516   1 Unspecified B-cell lymphoma, intrapelvic lymph nodes         Unspecified B-cell lymphoma, intrapelvic lymph nodes
02598 C8517   1 Unspecified B-cell lymphoma, spleen                          Unspecified B-cell lymphoma, spleen
02599 C8518   1 Unspecified B-cell lymphoma, lymph nodes of multiple sites   Unspecified B-cell lymphoma, lymph nodes of multiple sites
02600 C8519   1 Unsp B-cell lymphoma, extranodal and solid organ sites       Unspecified B-cell lymphoma, extranodal and solid organ sites
02601 C851A   1 Unspecified B-cell lymphoma, in remission                    Unspecified B-cell lymphoma, in remission
02602 C852    0 Mediastinal (thymic) large B-cell lymphoma                   Mediastinal (thymic) large B-cell lymphoma
02603 C8520   1 Mediastinal (thymic) large B-cell lymphoma, unspecified site Mediastinal (thymic) large B-cell lymphoma, unspecified site
02604 C8521   1 Mediastnl large B-cell lymph, nodes of head, face, and neck  Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck
02605 C8522   1 Mediastnl (thymic) large B-cell lymphoma, intrathorac nodes  Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes
02606 C8523   1 Mediastinal (thymic) large B-cell lymphoma, intra-abd nodes  Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes
02607 C8524   1 Mediastnl large B-cell lymph, nodes of axilla and upper limb Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb
02608 C8525   1 Mediastnl lg B-cell lymph, nodes of ing rgn and lower limb   Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb
02609 C8526   1 Mediastinal (thymic) large B-cell lymphoma, intrapelv nodes  Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes
02610 C8527   1 Mediastinal (thymic) large B-cell lymphoma, spleen           Mediastinal (thymic) large B-cell lymphoma, spleen
02611 C8528   1 Mediastinal (thymic) large B-cell lymphoma, nodes mult site  Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites
02612 C8529   1 Mediastnl large B-cell lymph, extrnod and solid organ sites  Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites
02613 C852A   1 Mediastinal (thymic) large B-cell lymphoma, in remission     Mediastinal (thymic) large B-cell lymphoma, in remission
02614 C858    0 Other specified types of non-Hodgkin lymphoma                Other specified types of non-Hodgkin lymphoma
02615 C8580   1 Oth types of non-Hodgkin lymphoma, unspecified site          Other specified types of non-Hodgkin lymphoma, unspecified site
02616 C8581   1 Oth types of non-hodg lymph, nodes of head, face, and neck   Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck
02617 C8582   1 Oth types of non-Hodgkin lymphoma, intrathoracic lymph nodes Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes
02618 C8583   1 Oth types of non-Hodgkin lymphoma, intra-abd lymph nodes     Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes
02619 C8584   1 Oth types of non-hodg lymph, nodes of axilla and upper limb  Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb
02620 C8585   1 Oth types of non-hodg lymph, nodes of ing rgn and lower limb Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
02621 C8586   1 Oth types of non-Hodgkin lymphoma, intrapelvic lymph nodes   Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes
02622 C8587   1 Other specified types of non-Hodgkin lymphoma, spleen        Other specified types of non-Hodgkin lymphoma, spleen
02623 C8588   1 Oth types of non-Hodgkin lymphoma, lymph nodes mult site     Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites
02624 C8589   1 Oth types of non-hodg lymph, extrnod and solid organ sites   Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites
02625 C858A   1 Other specified types of non-Hodgkin lymphoma, in remission  Other specified types of non-Hodgkin lymphoma, in remission
02626 C859    0 Non-Hodgkin lymphoma, unspecified                            Non-Hodgkin lymphoma, unspecified
02627 C8590   1 Non-Hodgkin lymphoma, unspecified, unspecified site          Non-Hodgkin lymphoma, unspecified, unspecified site
02628 C8591   1 Non-Hodgkin lymphoma, unsp, nodes of head, face, and neck    Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck
02629 C8592   1 Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes
02630 C8593   1 Non-Hodgkin lymphoma, unsp, intra-abdominal lymph nodes      Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes
02631 C8594   1 Non-Hodgkin lymphoma, unsp, nodes of axilla and upper limb   Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb
02632 C8595   1 Non-hodg lymphoma, unsp, nodes of ing region and lower limb  Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb
02633 C8596   1 Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes   Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes
02634 C8597   1 Non-Hodgkin lymphoma, unspecified, spleen                    Non-Hodgkin lymphoma, unspecified, spleen
02635 C8598   1 Non-Hodgkin lymphoma, unsp, lymph nodes of multiple sites    Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites
02636 C8599   1 Non-Hodgkin lymphoma, unsp, extranodal and solid organ sites Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites
02637 C859A   1 Non-Hodgkin lymphoma, unspecified, in remission              Non-Hodgkin lymphoma, unspecified, in remission
02638 C86     0 Other specified types of T/NK-cell lymphoma                  Other specified types of T/NK-cell lymphoma
02639 C860    0 Extranodal NK/T-cell lymphoma, nasal type                    Extranodal NK/T-cell lymphoma, nasal type
02640 C8600   1 Extranodal NK/T-cell lymphoma, nasal type not remission      Extranodal NK/T-cell lymphoma, nasal type not having achieved remission
02641 C8601   1 Extranodal NK/T-cell lymphoma, nasal type, in remission      Extranodal NK/T-cell lymphoma, nasal type, in remission
02642 C861    0 Hepatosplenic T-cell lymphoma                                Hepatosplenic T-cell lymphoma
02643 C8610   1 Hepatosplenic T-cell lymphoma not having achieved remission  Hepatosplenic T-cell lymphoma not having achieved remission
02644 C8611   1 Hepatosplenic T-cell lymphoma, in remission                  Hepatosplenic T-cell lymphoma, in remission
02645 C862    0 Enteropathy-type (intestinal) T-cell lymphoma                Enteropathy-type (intestinal) T-cell lymphoma
02646 C8620   1 Enteropathy-type (intestinal) T-cell lymphoma not remission  Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission
02647 C8621   1 Enteropathy-type (intestinal) T-cell lymphoma, in remission  Enteropathy-type (intestinal) T-cell lymphoma, in remission
02648 C863    0 Subcutaneous panniculitis-like T-cell lymphoma               Subcutaneous panniculitis-like T-cell lymphoma
02649 C8630   1 Subcutaneous panniculitis-like T-cell lymphoma not remission Subcutaneous panniculitis-like T-cell lymphoma not having achieved remission
02650 C8631   1 Subcutaneous panniculitis-like T-cell lymphoma, in remission Subcutaneous panniculitis-like T-cell lymphoma, in remission
02651 C864    0 Blastic NK-cell lymphoma                                     Blastic NK-cell lymphoma
02652 C8640   1 Blastic NK-cell lymphoma not having achieved remission       Blastic NK-cell lymphoma not having achieved remission
02653 C8641   1 Blastic NK-cell lymphoma, in remission                       Blastic NK-cell lymphoma, in remission
02654 C865    0 Angioimmunoblastic T-cell lymphoma                           Angioimmunoblastic T-cell lymphoma
02655 C8650   1 Angioimmunoblastic T-cell lymphoma not achieve remission     Angioimmunoblastic T-cell lymphoma not having achieved remission
02656 C8651   1 Angioimmunoblastic T-cell lymphoma, in remission             Angioimmunoblastic T-cell lymphoma, in remission
02657 C866    0 Primary cutaneous CD30-positive T-cell proliferations        Primary cutaneous CD30-positive T-cell proliferations
02658 C8660   1 Primary cutaneous CD30-positive T-cell prolif not remission  Primary cutaneous CD30-positive T-cell proliferations not having achieved remission
02659 C8661   1 Primary cutaneous CD30-positive T-cell prolif, in remission  Primary cutaneous CD30-positive T-cell proliferations, in remission
02660 C88     0 Malig immunoproliferative dis and certain oth B-cell lymph   Malignant immunoproliferative diseases and certain other B-cell lymphomas
02661 C880    0 Waldenstrom macroglobulinemia                                Waldenstrom macroglobulinemia
02662 C8800   1 Waldenstrom macroglobulinemia not having achieved remission  Waldenstrom macroglobulinemia not having achieved remission
02663 C8801   1 Waldenstrom macroglobulinemia, in remission                  Waldenstrom macroglobulinemia, in remission
02664 C882    0 Heavy chain disease                                          Heavy chain disease
02665 C8820   1 Heavy chain disease not having achieved remission            Heavy chain disease not having achieved remission
02666 C8821   1 Heavy chain disease, in remission                            Heavy chain disease, in remission
02667 C883    0 Immunoproliferative small intestinal disease                 Immunoproliferative small intestinal disease
02668 C8830   1 Immunoproliferative small intestinal disease not remission   Immunoproliferative small intestinal disease not having achieved remission
02669 C8831   1 Immunoproliferative small intestinal disease, in remission   Immunoproliferative small intestinal disease, in remission
02670 C884    0 Extrnod mrgnl zn B-cell lymph of mucosa-assoc lymphoid tiss  Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
02671 C8840   1 Extrnod mrgnl B-cell lymph mucosa-assoc lym tiss not remis   Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma] not having achieved remission
02672 C8841   1 Extrnod mrgnl B-cell lymph mucosa-assoc lym tiss, in remis   Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], in remission
02673 C888    0 Other malignant immunoproliferative diseases                 Other malignant immunoproliferative diseases
02674 C8880   1 Other malignant immunoproliferative diseases not remission   Other malignant immunoproliferative diseases not having achieved remission
02675 C8881   1 Other malignant immunoproliferative diseases, in remission   Other malignant immunoproliferative diseases, in remission
02676 C889    0 Malignant immunoproliferative disease, unspecified           Malignant immunoproliferative disease, unspecified
02677 C8890   1 Malignant immunoproliferative disease, unsp not remission    Malignant immunoproliferative disease, unspecified not having achieved remission
02678 C8891   1 Malignant immunoproliferative disease, unsp, in remission    Malignant immunoproliferative disease, unspecified, in remission
02679 C90     0 Multiple myeloma and malignant plasma cell neoplasms         Multiple myeloma and malignant plasma cell neoplasms
02680 C900    0 Multiple myeloma                                             Multiple myeloma
02681 C9000   1 Multiple myeloma not having achieved remission               Multiple myeloma not having achieved remission
02682 C9001   1 Multiple myeloma in remission                                Multiple myeloma in remission
02683 C9002   1 Multiple myeloma in relapse                                  Multiple myeloma in relapse
02684 C901    0 Plasma cell leukemia                                         Plasma cell leukemia
02685 C9010   1 Plasma cell leukemia not having achieved remission           Plasma cell leukemia not having achieved remission
02686 C9011   1 Plasma cell leukemia in remission                            Plasma cell leukemia in remission
02687 C9012   1 Plasma cell leukemia in relapse                              Plasma cell leukemia in relapse
02688 C902    0 Extramedullary plasmacytoma                                  Extramedullary plasmacytoma
02689 C9020   1 Extramedullary plasmacytoma not having achieved remission    Extramedullary plasmacytoma not having achieved remission
02690 C9021   1 Extramedullary plasmacytoma in remission                     Extramedullary plasmacytoma in remission
02691 C9022   1 Extramedullary plasmacytoma in relapse                       Extramedullary plasmacytoma in relapse
02692 C903    0 Solitary plasmacytoma                                        Solitary plasmacytoma
02693 C9030   1 Solitary plasmacytoma not having achieved remission          Solitary plasmacytoma not having achieved remission
02694 C9031   1 Solitary plasmacytoma in remission                           Solitary plasmacytoma in remission
02695 C9032   1 Solitary plasmacytoma in relapse                             Solitary plasmacytoma in relapse
02696 C91     0 Lymphoid leukemia                                            Lymphoid leukemia
02697 C910    0 Acute lymphoblastic leukemia [ALL]                           Acute lymphoblastic leukemia [ALL]
02698 C9100   1 Acute lymphoblastic leukemia not having achieved remission   Acute lymphoblastic leukemia not having achieved remission
02699 C9101   1 Acute lymphoblastic leukemia, in remission                   Acute lymphoblastic leukemia, in remission
02700 C9102   1 Acute lymphoblastic leukemia, in relapse                     Acute lymphoblastic leukemia, in relapse
02701 C911    0 Chronic lymphocytic leukemia of B-cell type                  Chronic lymphocytic leukemia of B-cell type
02702 C9110   1 Chronic lymphocytic leuk of B-cell type not achieve remis    Chronic lymphocytic leukemia of B-cell type not having achieved remission
02703 C9111   1 Chronic lymphocytic leukemia of B-cell type in remission     Chronic lymphocytic leukemia of B-cell type in remission
02704 C9112   1 Chronic lymphocytic leukemia of B-cell type in relapse       Chronic lymphocytic leukemia of B-cell type in relapse
02705 C913    0 Prolymphocytic leukemia of B-cell type                       Prolymphocytic leukemia of B-cell type
02706 C9130   1 Prolymphocytic leukemia of B-cell type not achieve remission Prolymphocytic leukemia of B-cell type not having achieved remission
02707 C9131   1 Prolymphocytic leukemia of B-cell type, in remission         Prolymphocytic leukemia of B-cell type, in remission
02708 C9132   1 Prolymphocytic leukemia of B-cell type, in relapse           Prolymphocytic leukemia of B-cell type, in relapse
02709 C914    0 Hairy cell leukemia                                          Hairy cell leukemia
02710 C9140   1 Hairy cell leukemia not having achieved remission            Hairy cell leukemia not having achieved remission
02711 C9141   1 Hairy cell leukemia, in remission                            Hairy cell leukemia, in remission
02712 C9142   1 Hairy cell leukemia, in relapse                              Hairy cell leukemia, in relapse
02713 C915    0 Adult T-cell lymphoma/leukemia (HTLV-1-associated)           Adult T-cell lymphoma/leukemia (HTLV-1-associated)
02714 C9150   1 Adult T-cell lymph/leuk (HTLV-1-assoc) not achieve remission Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission
02715 C9151   1 Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in remission  Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission
02716 C9152   1 Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in relapse    Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse
02717 C916    0 Prolymphocytic leukemia of T-cell type                       Prolymphocytic leukemia of T-cell type
02718 C9160   1 Prolymphocytic leukemia of T-cell type not achieve remission Prolymphocytic leukemia of T-cell type not having achieved remission
02719 C9161   1 Prolymphocytic leukemia of T-cell type, in remission         Prolymphocytic leukemia of T-cell type, in remission
02720 C9162   1 Prolymphocytic leukemia of T-cell type, in relapse           Prolymphocytic leukemia of T-cell type, in relapse
02721 C91A    0 Mature B-cell leukemia Burkitt-type                          Mature B-cell leukemia Burkitt-type
02722 C91A0   1 Mature B-cell leukemia Burkitt-type not achieve remission    Mature B-cell leukemia Burkitt-type not having achieved remission
02723 C91A1   1 Mature B-cell leukemia Burkitt-type, in remission            Mature B-cell leukemia Burkitt-type, in remission
02724 C91A2   1 Mature B-cell leukemia Burkitt-type, in relapse              Mature B-cell leukemia Burkitt-type, in relapse
02725 C91Z    0 Other lymphoid leukemia                                      Other lymphoid leukemia
02726 C91Z0   1 Other lymphoid leukemia not having achieved remission        Other lymphoid leukemia not having achieved remission
02727 C91Z1   1 Other lymphoid leukemia, in remission                        Other lymphoid leukemia, in remission
02728 C91Z2   1 Other lymphoid leukemia, in relapse                          Other lymphoid leukemia, in relapse
02729 C919    0 Lymphoid leukemia, unspecified                               Lymphoid leukemia, unspecified
02730 C9190   1 Lymphoid leukemia, unspecified not having achieved remission Lymphoid leukemia, unspecified not having achieved remission
02731 C9191   1 Lymphoid leukemia, unspecified, in remission                 Lymphoid leukemia, unspecified, in remission
02732 C9192   1 Lymphoid leukemia, unspecified, in relapse                   Lymphoid leukemia, unspecified, in relapse
02733 C92     0 Myeloid leukemia                                             Myeloid leukemia
02734 C920    0 Acute myeloblastic leukemia                                  Acute myeloblastic leukemia
02735 C9200   1 Acute myeloblastic leukemia, not having achieved remission   Acute myeloblastic leukemia, not having achieved remission
02736 C9201   1 Acute myeloblastic leukemia, in remission                    Acute myeloblastic leukemia, in remission
02737 C9202   1 Acute myeloblastic leukemia, in relapse                      Acute myeloblastic leukemia, in relapse
02738 C921    0 Chronic myeloid leukemia, BCR/ABL-positive                   Chronic myeloid leukemia, BCR/ABL-positive
02739 C9210   1 Chronic myeloid leuk, BCR/ABL-positive, not achieve remis    Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission
02740 C9211   1 Chronic myeloid leukemia, BCR/ABL-positive, in remission     Chronic myeloid leukemia, BCR/ABL-positive, in remission
02741 C9212   1 Chronic myeloid leukemia, BCR/ABL-positive, in relapse       Chronic myeloid leukemia, BCR/ABL-positive, in relapse
02742 C922    0 Atypical chronic myeloid leukemia, BCR/ABL-negative          Atypical chronic myeloid leukemia, BCR/ABL-negative
02743 C9220   1 Atyp chronic myeloid leuk, BCR/ABL-neg, not achieve remis    Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission
02744 C9221   1 Atypical chronic myeloid leukemia, BCR/ABL-neg, in remission Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission
02745 C9222   1 Atypical chronic myeloid leukemia, BCR/ABL-neg, in relapse   Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse
02746 C923    0 Myeloid sarcoma                                              Myeloid sarcoma
02747 C9230   1 Myeloid sarcoma, not having achieved remission               Myeloid sarcoma, not having achieved remission
02748 C9231   1 Myeloid sarcoma, in remission                                Myeloid sarcoma, in remission
02749 C9232   1 Myeloid sarcoma, in relapse                                  Myeloid sarcoma, in relapse
02750 C924    0 Acute promyelocytic leukemia                                 Acute promyelocytic leukemia
02751 C9240   1 Acute promyelocytic leukemia, not having achieved remission  Acute promyelocytic leukemia, not having achieved remission
02752 C9241   1 Acute promyelocytic leukemia, in remission                   Acute promyelocytic leukemia, in remission
02753 C9242   1 Acute promyelocytic leukemia, in relapse                     Acute promyelocytic leukemia, in relapse
02754 C925    0 Acute myelomonocytic leukemia                                Acute myelomonocytic leukemia
02755 C9250   1 Acute myelomonocytic leukemia, not having achieved remission Acute myelomonocytic leukemia, not having achieved remission
02756 C9251   1 Acute myelomonocytic leukemia, in remission                  Acute myelomonocytic leukemia, in remission
02757 C9252   1 Acute myelomonocytic leukemia, in relapse                    Acute myelomonocytic leukemia, in relapse
02758 C926    0 Acute myeloid leukemia with 11q23-abnormality                Acute myeloid leukemia with 11q23-abnormality
02759 C9260   1 Acute myeloid leukemia w 11q23-abnormality not achieve remis Acute myeloid leukemia with 11q23-abnormality not having achieved remission
02760 C9261   1 Acute myeloid leukemia with 11q23-abnormality in remission   Acute myeloid leukemia with 11q23-abnormality in remission
02761 C9262   1 Acute myeloid leukemia with 11q23-abnormality in relapse     Acute myeloid leukemia with 11q23-abnormality in relapse
02762 C92A    0 Acute myeloid leukemia with multilineage dysplasia           Acute myeloid leukemia with multilineage dysplasia
02763 C92A0   1 Acute myeloid leuk w multilin dysplasia, not achieve remis   Acute myeloid leukemia with multilineage dysplasia, not having achieved remission
02764 C92A1   1 Acute myeloid leukemia w multilin dysplasia, in remission    Acute myeloid leukemia with multilineage dysplasia, in remission
02765 C92A2   1 Acute myeloid leukemia w multilineage dysplasia, in relapse  Acute myeloid leukemia with multilineage dysplasia, in relapse
02766 C92Z    0 Other myeloid leukemia                                       Other myeloid leukemia
02767 C92Z0   1 Other myeloid leukemia not having achieved remission         Other myeloid leukemia not having achieved remission
02768 C92Z1   1 Other myeloid leukemia, in remission                         Other myeloid leukemia, in remission
02769 C92Z2   1 Other myeloid leukemia, in relapse                           Other myeloid leukemia, in relapse
02770 C929    0 Myeloid leukemia, unspecified                                Myeloid leukemia, unspecified
02771 C9290   1 Myeloid leukemia, unspecified, not having achieved remission Myeloid leukemia, unspecified, not having achieved remission
02772 C9291   1 Myeloid leukemia, unspecified in remission                   Myeloid leukemia, unspecified in remission
02773 C9292   1 Myeloid leukemia, unspecified in relapse                     Myeloid leukemia, unspecified in relapse
02774 C93     0 Monocytic leukemia                                           Monocytic leukemia
02775 C930    0 Acute monoblastic/monocytic leukemia                         Acute monoblastic/monocytic leukemia
02776 C9300   1 Acute monoblastic/monocytic leukemia, not achieve remission  Acute monoblastic/monocytic leukemia, not having achieved remission
02777 C9301   1 Acute monoblastic/monocytic leukemia, in remission           Acute monoblastic/monocytic leukemia, in remission
02778 C9302   1 Acute monoblastic/monocytic leukemia, in relapse             Acute monoblastic/monocytic leukemia, in relapse
02779 C931    0 Chronic myelomonocytic leukemia                              Chronic myelomonocytic leukemia
02780 C9310   1 Chronic myelomonocytic leukemia not achieve remission        Chronic myelomonocytic leukemia not having achieved remission
